Unnamed: 0,ball_x,ball_y,ball_dx,ball_dy,paddle_x,leftHeld,RightHeld
1251,335,405,5,-5,450,False,True
110,630,310,-5,-5,260,True,False
2633,655,585,-5,-5,580,True,False
433,595,145,-5,5,330,True,False
3578,670,520,-5,-5,630,True,False
4084,280,580,5,5,210,False,True
4131,515,585,5,-5,490,False,True
3125,225,465,5,-5,270,False,True
4185,785,335,5,-5,500,True,False
2641,615,565,-5,-5,500,True,False
1447,265,575,-5,5,200,True,False
2170,190,450,5,-5,260,False,True
1392,540,300,-5,5,460,True,False
2056,380,140,-5,5,130,True,False
3827,575,435,5,-5,480,False,True
741,635,525,-5,5,610,True,False
1975,785,265,-5,-5,440,True,False
2165,165,475,5,-5,210,False,True
1232,240,500,5,-5,260,False,True
1606,530,210,5,5,550,False,True
1124,300,120,-5,5,170,True,False
3930,490,80,-5,5,490,True,False
1906,450,550,5,5,390,False,True
281,225,545,5,5,160,False,True
3824,560,450,5,-5,450,False,True
1400,500,340,-5,5,380,True,False
1451,245,565,-5,-5,160,True,False
3148,340,350,5,-5,500,False,True
4104,380,580,5,5,310,False,True
2499,255,35,5,5,180,False,True
3731,95,245,5,5,80,False,True
3923,525,45,-5,5,560,True,False
1245,305,435,5,-5,390,False,True
3135,275,415,5,-5,370,False,True
2040,460,60,-5,5,290,True,False
3576,680,530,-5,-5,650,True,False
3335,305,575,-5,-5,260,True,False
519,165,575,-5,5,150,True,False
351,575,265,5,-5,550,False,True
3608,520,370,-5,-5,330,True,False
2512,320,100,5,5,310,False,True
1798,90,10,-5,5,210,True,False
3633,395,245,-5,-5,80,True,False
3783,355,505,5,5,280,False,True
3777,325,475,5,5,220,False,True
3792,400,550,5,5,370,False,True
3464,340,70,5,5,240,False,True
82,770,450,-5,-5,540,True,False
3299,485,405,-5,5,490,True,False
927,295,295,5,5,300,False,True
930,310,310,5,5,330,False,True
3488,460,190,5,5,480,False,True
2696,340,290,-5,-5,320,True,False
3938,450,120,-5,5,410,True,False
3623,445,295,-5,-5,180,True,False
346,550,290,5,-5,500,False,True
1970,770,290,5,-5,490,True,False
2533,425,205,5,5,520,False,True
1798,90,10,-5,5,210,True,False
4181,765,355,5,-5,540,True,False
1705,555,455,-5,-5,400,True,False
1547,235,85,5,-5,180,False,True
109,635,315,-5,-5,270,True,False
1700,580,480,-5,-5,450,True,False
4128,500,580,5,5,460,False,True
3790,390,540,5,5,350,False,True
3311,425,465,-5,5,370,True,False
38,590,490,5,5,550,False,True
1221,185,555,5,-5,150,False,True
4054,130,580,5,5,60,False,True
3114,170,520,5,-5,160,False,True
218,90,230,-5,5,60,True,False
85,755,435,-5,-5,510,True,False
2638,630,580,-5,-5,530,True,False
2325,615,325,-5,5,510,True,False
89,735,415,-5,-5,470,True,False
4104,380,580,5,5,310,False,True
3726,70,220,5,5,30,False,True
221,75,245,-5,5,30,True,False
3737,125,275,5,5,140,False,True
2506,290,70,5,5,250,False,True
3503,535,265,5,5,630,False,True
2638,630,580,-5,-5,530,True,False
260,120,440,5,5,130,False,True
409,715,25,-5,5,570,True,False
440,560,180,-5,5,260,True,False
1112,360,60,-5,5,290,True,False
1401,495,345,-5,5,370,True,False
740,640,520,-5,5,620,True,False
3786,370,520,5,5,310,False,True
2186,270,370,5,-5,420,False,True
3305,455,435,-5,5,430,True,False
3301,475,415,-5,5,470,True,False
765,515,515,-5,-5,470,True,False
3954,370,200,-5,5,250,True,False
1850,170,270,5,5,190,False,True
3489,465,195,5,5,490,False,True
2865,505,555,5,5,480,False,True
3639,365,215,-5,-5,20,True,False
3828,580,430,5,-5,490,False,True
583,155,265,5,-5,130,False,True
90,730,410,-5,-5,460,True,False
1968,760,300,5,-5,510,True,False
925,285,285,5,5,280,False,True
3786,370,520,5,5,310,False,True
352,580,260,5,-5,560,False,True
596,220,200,5,-5,260,False,True
1226,210,530,5,-5,200,False,True
2054,390,130,-5,5,150,True,False
2690,370,320,-5,-5,380,True,False
4131,515,585,5,-5,490,False,True
3828,580,430,5,-5,490,False,True
429,615,125,-5,5,370,True,False
2625,695,585,-5,-5,660,True,False
3582,650,500,-5,-5,590,True,False
780,440,440,-5,-5,320,True,False
2171,195,445,5,-5,270,False,True
3826,570,440,5,-5,470,False,True
2188,280,360,5,-5,440,False,True
3618,470,320,-5,-5,230,True,False
1552,260,60,5,-5,230,False,True
3498,510,240,5,5,580,False,True
2948,660,190,-5,-5,290,True,False
979,555,555,5,5,520,False,True
923,275,275,5,5,260,False,True
1251,335,405,5,-5,450,False,True
1093,455,35,-5,-5,480,True,False
2697,335,285,-5,-5,310,True,False
2922,790,320,-5,-5,550,True,False
2135,15,535,5,5,10,True,False
3974,270,300,-5,5,50,True,False
3493,485,215,5,5,530,False,True
432,600,140,-5,5,340,True,False
3603,545,395,-5,-5,380,True,False
3585,635,485,-5,-5,560,True,False
3726,70,220,5,5,30,False,True
1699,585,485,-5,-5,460,True,False
2162,150,490,5,-5,180,False,True
